mC mH tb Zd Ze
2216.2776 2025.09 1.5 0.0540868 0.0539456
2216.2776 2125.09 1.5 0.00113182 0.00113175
2216.2776 225.09 1.5 18.7573 13.0396
2216.2776 325.09 1.5 20.504 14.0706
2216.2776 425.09 1.5 0.463847 0.471634
2216.2776 525.09 1.5 0.29881 0.2945
2216.2776 625.09 1.5 0.251499 0.248487
2216.2776 725.09 1.5 0.243471 0.240611
2216.2776 825.09 1.5 0.237812 0.235034
2216.2776 925.09 1.5 0.135035 0.134843
2316.2776 1025.09 1.5 0.195852 0.194036
2316.2776 1125.09 1.5 0.198829 0.198388
2316.2776 1225.09 1.5 0.198197 0.19632
2316.2776 125.09 1.5 9.2991 7.22972
2316.2776 1325.09 1.5 0.200923 0.198945
2316.2776 1425.09 1.5 0.198898 0.196965
2316.2776 1525.09 1.5 0.199127 0.197177
2316.2776 1625.09 1.5 0.195682 0.193824
2316.2776 1725.09 1.5 0.184882 0.183223
2316.2776 1825.09 1.5 0.175991 0.174471
2316.2776 1925.09 1.5 0.148581 0.147499
2316.2776 2025.09 1.5 0.107161 0.106611
2316.2776 2125.09 1.5 0.0436859 0.0435928
2316.2776 2225.09 1.5 0.000914585 0.000914545
2316.2776 225.09 1.5 16.3435 11.648
2316.2776 325.09 1.5 18.1756 12.7203
2316.2776 425.09 1.5 0.401319 0.393589
2316.2776 525.09 1.5 0.250789 0.247708
2316.2776 625.09 1.5 0.218135 0.215841
2316.2776 725.09 1.5 0.212243 0.210035
2316.2776 825.09 1.5 0.199113 0.197238
2316.2776 925.09 1.5 0.201833 0.199856
2416.2776 1025.09 1.5 0.169808 0.16845
2416.2776 1125.09 1.5 0.173255 0.171778
2416.2776 1225.09 1.5 0.170154 0.16876
2416.2776 125.09 1.5 7.91916 6.26538
2416.2776 1325.09 1.5 0.171964 0.170504
2416.2776 1425.09 1.5 0.172715 0.171243
2416.2776 1525.09 1.5 0.167837 0.166476
2416.2776 1625.09 1.5 0.166954 0.165593
2416.2776 1725.09 1.5 0.164612 0.163288
2416.2776 1825.09 1.5 0.157421 0.156213
2416.2776 1925.09 1.5 0.142742 0.141757
2416.2776 2025.09 1.5 0.123718 0.122986
2416.2776 2125.09 1.5 0.0883195 0.0879414
2416.2776 2225.09 1.5 0.0364041 0.0363413
2416.2776 225.09 1.5 14.6586 10.5948
2416.2776 2325.09 1.5 0.000774113 0.000774083
2416.2776 325.09 1.5 16.4225 11.6736
2416.2776 425.09 1.5 0.341636 0.336155
2416.2776 525.09 1.5 0.205612 0.203592
2416.2776 625.09 1.5 0.184776 0.183109
2416.2776 725.09 1.5 0.173504 0.172017
2416.2776 825.09 1.5 0.172499 0.171046
2416.2776 925.09 1.5 0.174906 0.173404
2516.2776 1025.09 1.5 0.149703 0.1486
2516.2776 1125.09 1.5 0.14517 0.144166
2516.2776 1225.09 1.5 0.148273 0.147184
2516.2776 125.09 1.5 7.33067 5.84868
2516.2776 1325.09 1.5 0.149448 0.148342
