mC mH tb Zd Ze
2116.2776 1925.09 1.5 0.00025145 0.000251485
2116.2776 525.09 1.5 0.00160282 0.00160281
2116.2776 1025.09 1.5 0.00105931 0.00105931
2116.2776 625.09 1.5 0.0013339 0.00133391
2116.2776 725.09 1.5 0.00117752 0.00117753
2116.2776 1825.09 1.5 0.00058567 0.000585673
2116.2776 1225.09 1.5 0.00103219 0.00103219
2116.2776 1425.09 1.5 0.000989986 0.000989992
2116.2776 225.09 1.5 0.396786 0.396614
2116.2776 1525.09 1.5 0.000962328 0.000962311
2116.2776 1625.09 1.5 0.000905141 0.000905137
2116.2776 1725.09 1.5 0.000790572 0.00079057
2116.2776 925.09 1.5 0.00108717 0.00108718
2116.2776 1325.09 1.5 0.00100464 0.00100464
2116.2776 1125.09 1.5 0.00104504 0.00104504
2116.2776 325.09 1.5 0.33835 0.338225
2116.2776 825.09 1.5 0.00111294 0.00111294
2216.2776 125.09 1.5 0.313901 0.313797
2116.2776 2025.09 1.5 8.06488e-06 5.89511e-06
2216.2776 225.09 1.5 0.280981 0.280908
2216.2776 325.09 1.5 0.284276 0.284189
2416.2776 425.09 1.5 0.00168552 0.00168552
2216.2776 1225.09 1.5 0.000849322 0.000849318
2216.2776 1425.09 1.5 0.000833211 0.000833206
2216.2776 1325.09 1.5 0.000843357 0.000843345
2316.2776 1625.09 1.5 0.000660466 0.000660478
2316.2776 925.09 1.5 0.000727982 0.000727966
2416.2776 125.09 1.5 0.205839 0.205798
2416.2776 525.09 1.5 0.000903348 0.000903356
2216.2776 1125.09 1.5 0.00085973 0.00085973
2316.2776 2125.09 1.5 0.000160292 0.00016023
2316.2776 2225.09 1.5 1.77884e-05 4.83418e-06
2316.2776 825.09 1.5 0.000754399 0.000754386
2316.2776 1025.09 1.5 0.000713067 0.000713077
2216.2776 625.09 1.5 0.00109864 0.00109863
2216.2776 2125.09 1.5 5.95989e-06 5.20202e-06
2316.2776 1125.09 1.5 0.000701936 0.000701945
2316.2776 125.09 1.5 0.249534 0.24947
2316.2776 1225.09 1.5 0.000696493 0.000696487
2216.2776 1625.09 1.5 0.000792137 0.000792137
2216.2776 1525.09 1.5 0.000817443 0.00081744
2216.2776 725.09 1.5 0.000983358 0.000983354
2216.2776 925.09 1.5 0.000895485 0.00089549
2216.2776 825.09 1.5 0.000922672 0.000922679
2216.2776 1025.09 1.5 0.000873332 0.000873321
2216.2776 1825.09 1.5 0.000650938 0.000650925
2216.2776 2025.09 1.5 0.000202108 0.000202172
2316.2776 1525.09 1.5 0.000674447 0.000674449
2316.2776 1325.09 1.5 0.000687163 0.000687164
2316.2776 1425.09 1.5 0.000683767 0.000683777
2216.2776 1925.09 1.5 0.000475569 0.000475553
2416.2776 825.09 1.5 0.000607983 0.000607996
2416.2776 1525.09 1.5 0.000548774 0.000548795
2416.2776 1425.09 1.5 0.000557206 0.000557213
2416.2776 1125.09 1.5 0.00056979 0.000569789
2416.2776 1225.09 1.5 0.000564446 0.000564446
2416.2776 1325.09 1.5 0.000559107 0.00055911
2216.2776 1725.09 1.5 0.000742829 0.000742838
2416.2776 925.09 1.5 0.000586494 0.000586487
2416.2776 1025.09 1.5 0.000576254 0.000576233
2316.2776 425.09 1.5 0.00208971 0.00208971
2316.2776 525.09 1.5 0.00111974 0.00111974
2316.2776 625.09 1.5 0.000874768 0.000874748
2316.2776 725.09 1.5 0.000797247 0.000797258
2316.2776 1925.09 1.5 0.000525248 0.000525248
2316.2776 2025.09 1.5 0.000381493 0.00038145
2316.2776 225.09 1.5 0.269894 0.269819
2316.2776 325.09 1.5 0.231115 0.23106
2316.2776 1825.09 1.5 0.000601765 0.000601756
2316.2776 1725.09 1.5 0.000640878 0.000640887
2416.2776 325.09 1.5 0.186963 0.186929
2416.2776 725.09 1.5 0.000644902 0.000644884
2416.2776 225.09 1.5 0.217589 0.217543
2416.2776 625.09 1.5 0.000718929 0.000718927
2416.2776 1625.09 1.5 0.000545711 0.000545678
2416.2776 1725.09 1.5 0.000534825 0.000534807
2216.2776 425.09 1.5 0.00257759 0.00257758
2216.2776 525.09 1.5 0.0013718 0.00137179
2516.2776 1625.09 1.5 0.000443777 0.000443742
2616.2776 225.09 1.5 0.109241 0.109233
2516.2776 425.09 1.5 0.00135337 0.00135336
2516.2776 325.09 1.5 0.148744 0.148724
2516.2776 125.09 1.5 0.165941 0.165915
2516.2776 1425.09 1.5 0.000450534 0.000450518
2516.2776 2225.09 1.5 0.000241865 0.000241799
2616.2776 325.09 1.5 0.121255 0.121242
2516.2776 225.09 1.5 0.170464 0.170437
2516.2776 1325.09 1.5 0.000448462 0.000448479
2616.2776 125.09 1.5 0.130892 0.130877
2416.2776 1825.09 1.5 0.000518142 0.000518151
2516.2776 1525.09 1.5 0.00044588 0.000445878
2516.2776 2425.09 1.5 1.13082e-05 4.50107e-06
2516.2776 2325.09 1.5 9.97002e-05 9.9653e-05
2416.2776 1925.09 1.5 0.000484885 0.000484903
2516.2776 1825.09 1.5 0.000431161 0.000431195
2516.2776 1725.09 1.5 0.000438983 0.000438964
2516.2776 1025.09 1.5 0.000462368 0.000462359
2516.2776 1225.09 1.5 0.000454676 0.0004547
2516.2776 1125.09 1.5 0.000458463 0.000458484
2516.2776 625.09 1.5 0.000575895 0.000575904
2516.2776 525.09 1.5 0.000727058 0.00072705
2416.2776 2325.09 1.5 8.01817e-06 6.06791e-06
2516.2776 2025.09 1.5 0.000389306 0.000389305
2416.2776 2125.09 1.5 0.000304683 0.000304641
2416.2776 2025.09 1.5 0.000422755 0.000422732
2516.2776 825.09 1.5 0.000487563 0.000487539
2516.2776 925.09 1.5 0.00047302 0.000473022
2416.2776 2225.09 1.5 0.000126855 0.000126775
2516.2776 1925.09 1.5 0.000416477 0.000416504
2516.2776 725.09 1.5 0.000518097 0.000518043
2616.2776 1225.09 1.5 0.0003625 0.000362501
2816.2776 225.09 1.5 0.094051 0.0940441
2716.2776 925.09 1.5 0.000313439 0.000313388
2816.2776 425.09 1.5 0.000740806 0.000740793
2716.2776 425.09 1.5 0.000895096 0.000895075
2816.2776 325.09 1.5 0.081257 0.0812517
2716.2776 825.09 1.5 0.000323298 0.000323299
2616.2776 2425.09 1.5 7.90692e-05 7.91242e-05
2616.2776 1425.09 1.5 0.000366226 0.000366221
2616.2776 1325.09 1.5 0.000367137 0.000367155
